IMI�_PIERWSZE	P�E�	LICZBA_WYST�PIE�
PIOTR	MʯCZYZNA	697738
KRZYSZTOF	MʯCZYZNA	654442
ANDRZEJ	MʯCZYZNA	563554
TOMASZ	MʯCZYZNA	540578
PAWE�	MʯCZYZNA	511163
JAN	MʯCZYZNA	503920
MICHA�	MʯCZYZNA	489507
MARCIN	MʯCZYZNA	452520
JAKUB	MʯCZYZNA	410497
ADAM	MʯCZYZNA	400985
STANIS�AW	MʯCZYZNA	397356
MAREK	MʯCZYZNA	391407
�UKASZ	MʯCZYZNA	385119
GRZEGORZ	MʯCZYZNA	381780
MATEUSZ	MʯCZYZNA	374454
WOJCIECH	MʯCZYZNA	331968
MARIUSZ	MʯCZYZNA	291476
DARIUSZ	MʯCZYZNA	290423
ZBIGNIEW	MʯCZYZNA	279951
MACIEJ	MʯCZYZNA	267330
RAFA�	MʯCZYZNA	263455
ROBERT	MʯCZYZNA	261944
JERZY	MʯCZYZNA	260817
KAMIL	MʯCZYZNA	250017
JACEK	MʯCZYZNA	236921
J�ZEF	MʯCZYZNA	234613
DAWID	MʯCZYZNA	234455
SZYMON	MʯCZYZNA	228626
TADEUSZ	MʯCZYZNA	221484
RYSZARD	MʯCZYZNA	220908
KACPER	MʯCZYZNA	218052
BARTOSZ	MʯCZYZNA	200719
JAROS�AW	MʯCZYZNA	194799
JANUSZ	MʯCZYZNA	192340
S�AWOMIR	MʯCZYZNA	189939
ARTUR	MʯCZYZNA	189695
MIROS�AW	MʯCZYZNA	188171
SEBASTIAN	MʯCZYZNA	185074
DAMIAN	MʯCZYZNA	183627
HENRYK	MʯCZYZNA	180075
PATRYK	MʯCZYZNA	178651
DANIEL	MʯCZYZNA	166416
PRZEMYS�AW	MʯCZYZNA	166401
KAROL	MʯCZYZNA	164697
ROMAN	MʯCZYZNA	161846
KAZIMIERZ	MʯCZYZNA	161639
FILIP	MʯCZYZNA	156930
ANTONI	MʯCZYZNA	156746
WIES�AW	MʯCZYZNA	148085
ADRIAN	MʯCZYZNA	147101
MARIAN	MʯCZYZNA	145750
ALEKSANDER	MʯCZYZNA	138631
ARKADIUSZ	MʯCZYZNA	134801
DOMINIK	MʯCZYZNA	130924
FRANCISZEK	MʯCZYZNA	126872
BART�OMIEJ	MʯCZYZNA	124371
MIKO�AJ	MʯCZYZNA	122173
LESZEK	MʯCZYZNA	119313
WALDEMAR	MʯCZYZNA	112088
KRYSTIAN	MʯCZYZNA	111096
WIKTOR	MʯCZYZNA	108016
ZDZIS�AW	MʯCZYZNA	104421
RADOS�AW	MʯCZYZNA	104043
BOGDAN	MʯCZYZNA	99458
KONRAD	MʯCZYZNA	90722
EDWARD	MʯCZYZNA	90571
MIECZYS�AW	MʯCZYZNA	87283
HUBERT	MʯCZYZNA	86366
W�ADYS�AW	MʯCZYZNA	83308
IGOR	MʯCZYZNA	82258
CZES�AW	MʯCZYZNA	75966
OSKAR	MʯCZYZNA	70944
EUGENIUSZ	MʯCZYZNA	69845
MARCEL	MʯCZYZNA	67731
BOGUS�AW	MʯCZYZNA	63109
STEFAN	MʯCZYZNA	62175
IRENEUSZ	MʯCZYZNA	61965
MAKSYMILIAN	MʯCZYZNA	61103
ZYGMUNT	MʯCZYZNA	59078
MI�OSZ	MʯCZYZNA	58723
WITOLD	MʯCZYZNA	57056
SYLWESTER	MʯCZYZNA	55314
OLEKSANDR	MʯCZYZNA	51867
W�ODZIMIERZ	MʯCZYZNA	50543
OLIWIER	MʯCZYZNA	48916
ALAN	MʯCZYZNA	47669
NIKODEM	MʯCZYZNA	47309
ZENON	MʯCZYZNA	46888
LEON	MʯCZYZNA	44878
CEZARY	MʯCZYZNA	44798
NORBERT	MʯCZYZNA	39980
GABRIEL	MʯCZYZNA	37549
JULIAN	MʯCZYZNA	36724
SERHII	MʯCZYZNA	34787
IGNACY	MʯCZYZNA	33080
B�A�EJ	MʯCZYZNA	32534
ANDRII	MʯCZYZNA	32276
FABIAN	MʯCZYZNA	31589
TYMOTEUSZ	MʯCZYZNA	31096
VOLODYMYR	MʯCZYZNA	30875
TYMON	MʯCZYZNA	28976
ERYK	MʯCZYZNA	28298
EMIL	MʯCZYZNA	27960
BRONIS�AW	MʯCZYZNA	25867
LECH	MʯCZYZNA	25318
WAC�AW	MʯCZYZNA	25245
DMYTRO	MʯCZYZNA	22935
BOLES�AW	MʯCZYZNA	21895
IVAN	MʯCZYZNA	21504
MYKOLA	MʯCZYZNA	19713
KSAWERY	MʯCZYZNA	19412
NATAN	MʯCZYZNA	19240
VITALII	MʯCZYZNA	19086
BERNARD	MʯCZYZNA	19022
REMIGIUSZ	MʯCZYZNA	18526
IHOR	MʯCZYZNA	18370
VASYL	MʯCZYZNA	18333
EDMUND	MʯCZYZNA	17729
OLAF	MʯCZYZNA	17303
YURII	MʯCZYZNA	17183
BORYS	MʯCZYZNA	17083
MAKSYM	MʯCZYZNA	16413
KAJETAN	MʯCZYZNA	16109
OLEH	MʯCZYZNA	15883
LUCJAN	MʯCZYZNA	15811
ROMUALD	MʯCZYZNA	15195
KUBA	MʯCZYZNA	14604
VIKTOR	MʯCZYZNA	14603
MYKHAILO	MʯCZYZNA	14384
ALBERT	MʯCZYZNA	14054
TOBIASZ	MʯCZYZNA	13846
GRACJAN	MʯCZYZNA	13837
SZCZEPAN	MʯCZYZNA	13687
SEWERYN	MʯCZYZNA	13654
