IMIĘ_PIERWSZE	PŁEĆ	LICZBA_WYSTĽPIEŃ
PIOTR	MĘŻCZYZNA	697738
KRZYSZTOF	MĘŻCZYZNA	654442
ANDRZEJ	MĘŻCZYZNA	563554
TOMASZ	MĘŻCZYZNA	540578
PAWEŁ	MĘŻCZYZNA	511163
JAN	MĘŻCZYZNA	503920
MICHAŁ	MĘŻCZYZNA	489507
MARCIN	MĘŻCZYZNA	452520
JAKUB	MĘŻCZYZNA	410497
ADAM	MĘŻCZYZNA	400985
STANISŁAW	MĘŻCZYZNA	397356
MAREK	MĘŻCZYZNA	391407
ŁUKASZ	MĘŻCZYZNA	385119
GRZEGORZ	MĘŻCZYZNA	381780
MATEUSZ	MĘŻCZYZNA	374454
WOJCIECH	MĘŻCZYZNA	331968
MARIUSZ	MĘŻCZYZNA	291476
DARIUSZ	MĘŻCZYZNA	290423
ZBIGNIEW	MĘŻCZYZNA	279951
MACIEJ	MĘŻCZYZNA	267330
RAFAŁ	MĘŻCZYZNA	263455
ROBERT	MĘŻCZYZNA	261944
JERZY	MĘŻCZYZNA	260817
KAMIL	MĘŻCZYZNA	250017
JACEK	MĘŻCZYZNA	236921
JÓZEF	MĘŻCZYZNA	234613
DAWID	MĘŻCZYZNA	234455
SZYMON	MĘŻCZYZNA	228626
TADEUSZ	MĘŻCZYZNA	221484
RYSZARD	MĘŻCZYZNA	220908
KACPER	MĘŻCZYZNA	218052
BARTOSZ	MĘŻCZYZNA	200719
JAROSŁAW	MĘŻCZYZNA	194799
JANUSZ	MĘŻCZYZNA	192340
SŁAWOMIR	MĘŻCZYZNA	189939
ARTUR	MĘŻCZYZNA	189695
MIROSŁAW	MĘŻCZYZNA	188171
SEBASTIAN	MĘŻCZYZNA	185074
DAMIAN	MĘŻCZYZNA	183627
HENRYK	MĘŻCZYZNA	180075
PATRYK	MĘŻCZYZNA	178651
DANIEL	MĘŻCZYZNA	166416
PRZEMYSŁAW	MĘŻCZYZNA	166401
KAROL	MĘŻCZYZNA	164697
ROMAN	MĘŻCZYZNA	161846
KAZIMIERZ	MĘŻCZYZNA	161639
FILIP	MĘŻCZYZNA	156930
ANTONI	MĘŻCZYZNA	156746
WIESŁAW	MĘŻCZYZNA	148085
